roadSegment_id,roadSegment_type,lane_id,lane_roadid,lane_num,lane_length,lane_dir,lane_type,point_id,point_lane_id,point_left_lane_id,point_right_lane_id,point_cost,
1,0,6439,8,0,0,4.16865,0,6496,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6497,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6498,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6500,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6501,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6502,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6503,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6504,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6505,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6506,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6507,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6508,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6510,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6511,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6512,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6513,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6514,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6515,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6516,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6518,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6520,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6521,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6522,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6524,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6526,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6527,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6529,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6531,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6533,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6534,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6535,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6537,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6538,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6539,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6540,6439,2685,9238,0,
